,reviewd,name,platform,score
0,2018-02-17,Secret of Mana,"Android,iPhone,PC,PS4,PSVita",7
1,2018-02-16,Monster Energy Supercross,"PC,PS4,Switch,Xbox One",6.5
2,2018-02-15,FE,"PC,PS4,Switch,Xbox One",5
3,2018-02-14,Bayonetta,"PC,PS3,PS4,Switch,Wii-U,Xbox 360,Xbox One",8
4,2018-02-13,Dynasty Warriors 9,"PC,PS4,Xbox One",6.5
5,2018-02-12,Space Invaders Extreme,"DS,PC,PSP,Xbox 360",7
6,2018-02-11,Mutant Football League,"Android,iPhone,PC,PS4,Xbox 360,Xbox One",7
7,2018-02-09,The Seven Deadly Sins: Knights of Britannia,PS4,4
8,2018-02-09,Digimon Story Cyber Sleuth: Hacker's Memory,"PS4,PSVita",8
9,2018-02-09,Break Arts II,PC,6
10,2018-02-08,Octogeddon,PC,7.5
11,2018-02-08,Aegis Defenders,"PC,PS4,Switch",8.5
12,2018-02-07,Dandara,"Android,iPad,iPhone,PC,PS4,Switch,Xbox One",7
13,2018-02-07,Middle-earth: Shadow of War - Blade of Galadriel,"PC,PS4,Xbox One",6
14,2018-02-06,Shadow of the Colossus,"PS2,PS3,PS4",10
15,2018-02-05,Radiant Historia: Perfect Chronology,3DS,7.5
16,2018-02-05,Dissidia Final Fantasy NT,PS4,7
17,2018-02-03,Tesla vs Lovecraft ,PC,7
18,2018-02-02,Final Fantasy XIV: Stormblood,"Mouse,PC,PS4",9
19,2018-02-02,Final Fantasy XIV: Stormblood: Rise of a New Sun,PS4,8
20,2018-02-02,Nantucket,PC,8
21,2018-01-31,Space Dave!,"3DS,PC,PS4,PSVita,Switch,Wii-U",7.5
22,2018-01-30,Call of Duty: WWII: The Resistance,"PC,PS4,Xbox One",7
23,2018-01-30,OK K.O.! Let's Play Heroes,"PC,PS4,Xbox One",6
24,2018-01-28,Dragon Ball FighterZ,"PC,PS4,Xbox One",8.5
25,2018-01-25,Monster Hunter: World,"PC,PS4,Xbox One",9
26,2018-01-25,Celeste,"PC,PS4,Switch,Xbox One",10
27,2018-01-24,River City Rival Showdown,3DS,8.5
28,2018-01-24,Subnautica,"Mac OS,PC,Xbox One",9.5
29,2018-01-24,Lost Sphear,"PC,PS4,Switch",7.5
30,2018-01-23,Assassin's Creed Origins: The Hidden Ones,"PC,PS4,Xbox One",7
31,2018-01-23,The Inpatient,PS4,6.5
32,2018-01-23,Kirby Battle Royale,3DS,5.5
33,2018-01-22,Batman: The Enemy Within: What Ails You,"Android,iPhone,Mac OS,PC,PS4,Xbox One",7
34,2018-01-22,Iconoclasts,"Mac OS,PC,PS4,PSVita",9.5
35,2018-01-22,The Red Strings Club,PC,8
36,2018-01-18,Genital Jousting,PC,7.5
37,2018-01-17,Full Metal Furies,"PC,Xbox One",8.5
38,2018-01-14,Mom Hid My Game!,"3DS,Switch",6.5
39,2018-01-13,Dreadnought,"PC,PS4",7.5
40,2018-01-06,Style Savvy: Styling Star,3DS,8.5
41,2018-01-05,Life is Strange: Before the Storm: Hell is Empty,"PC,PS4,Xbox One",8
42,2018-01-03,Blossom Tales: The Sleeping King,Switch,8
