,date,game,platform,score
0,2018-03-08,Into the Breach,"Mac OS,PC",8
1,2018-03-06,Chuchel,"Android,iPad,iPhone,Mac OS,PC",9
2,2018-03-05,Girls und Panzer: Dream Tank Match,PS4,7.5
3,2018-03-05,Past Cure,"PC,PS4,Xbox One",2
4,2018-03-05,Fear Effect Sedna,"PC,PS4,Switch,Xbox One",5
5,2018-03-05,DJMAX Respect,PS4,9
6,2018-03-04,Part Time UFO,"Android,iPhone",8
7,2018-03-04,Brass Tactics,PC,6
8,2018-03-02,Sprint Vector,PS4,7.5
9,2018-03-02,Pit People,"PC,Xbox One",8.5
10,2018-03-01,Subsurface Circular,"iPad,Mac OS,PC,Switch",8
11,2018-02-28,Where the Water Tastes Like Wine,"Mac OS,PC",8.5
12,2018-02-27,Florence,iPad,8
13,2018-02-27,Moss,PS4,9
14,2018-02-26,Fable Fortune,"PC,Xbox One",4.5
15,2018-02-26,Puzzle Puppers,Switch,6
16,2018-02-26,Immortal Redneck,"PC,PS4,Switch,Xbox One",8
17,2018-02-26,Mulaka,"PC,PS4,Switch,Xbox One",8
18,2018-02-25,Gleaner Heights,PC,7.5
19,2018-02-25,Rad Rodgers,"PC,PS4,Xbox One",3.5
20,2018-02-25,Sword Art Online: Fatal Bullet,"PC,PS4,Xbox One",7
21,2018-02-24,Metal Gear Survive,"PC,PS4,Xbox One",5
22,2018-02-22,The Fall Part 2: Unbound,"PC,PS4,Switch,Xbox One",5.5
23,2018-02-21,Final Fantasy XV: Pocket Edition,"Android,iPad,iPhone",6.5
24,2018-02-20,Kingdom Come: Deliverance,"Mac OS,PC,PS4,Xbox One",7.5
25,2018-02-19,Pinstripe,"Mac OS,PC,PS4,Xbox One",7.5
26,2018-02-19,Rust,"Mac OS,PC",8
27,2018-02-19,Age of Empires: Definitive Edition,PC,8
28,2018-02-17,Secret of Mana,"Android,iPhone,PC,PS4,PSVita",7
29,2018-02-16,Monster Energy Supercross,"PC,PS4,Switch,Xbox One",6.5
30,2018-02-15,FE,"PC,PS4,Switch,Xbox One",5
31,2018-02-14,Bayonetta,"PC,PS3,PS4,Switch,Wii-U,Xbox 360,Xbox One",8
32,2018-02-13,Dynasty Warriors 9,"PC,PS4,Xbox One",6.5
33,2018-02-12,Space Invaders Extreme,"DS,PC,PSP,Xbox 360",7
34,2018-02-11,Mutant Football League,"Android,iPhone,PC,PS4,Xbox 360,Xbox One",7
35,2018-02-09,The Seven Deadly Sins: Knights of Britannia,PS4,4
36,2018-02-09,Digimon Story Cyber Sleuth: Hacker's Memory,"PS4,PSVita",8
37,2018-02-09,Break Arts II,PC,6
38,2018-02-08,Octogeddon,PC,7.5
39,2018-02-08,Aegis Defenders,"PC,PS4,Switch",8.5
40,2018-02-07,Dandara,"Android,iPad,iPhone,PC,PS4,Switch,Xbox One",7
41,2018-02-07,Middle-earth: Shadow of War - Blade of Galadriel,"PC,PS4,Xbox One",6
42,2018-02-06,Shadow of the Colossus,"PS2,PS3,PS4",10
43,2018-02-05,Radiant Historia: Perfect Chronology,3DS,7.5
44,2018-02-05,Dissidia Final Fantasy NT,PS4,7
45,2018-02-03,Tesla vs Lovecraft,PC,7
46,2018-02-02,Final Fantasy XIV: Stormblood,"Mouse,PC,PS4",9
47,2018-02-02,Final Fantasy XIV: Stormblood: Rise of a New Sun,PS4,8
48,2018-02-02,Nantucket,PC,8
49,2018-01-31,Space Dave!,"3DS,PC,PS4,PSVita,Switch,Wii-U",7.5
50,2018-01-30,Call of Duty: WWII: The Resistance,"PC,PS4,Xbox One",7
51,2018-01-30,OK K.O.! Let's Play Heroes,"PC,PS4,Xbox One",6
52,2018-01-28,Dragon Ball FighterZ,"PC,PS4,Xbox One",8.5
53,2018-01-25,Monster Hunter: World,"PC,PS4,Xbox One",9
54,2018-01-25,Celeste,"PC,PS4,Switch,Xbox One",10
55,2018-01-24,River City Rival Showdown,3DS,8.5
56,2018-01-24,Subnautica,"Mac OS,PC,Xbox One",9.5
57,2018-01-24,Lost Sphear,"PC,PS4,Switch",7.5
58,2018-01-23,Assassin's Creed Origins: The Hidden Ones,"PC,PS4,Xbox One",7
59,2018-01-23,The Inpatient,PS4,6.5
60,2018-01-23,Kirby Battle Royale,3DS,5.5
61,2018-01-22,Batman: The Enemy Within: What Ails You,"Android,iPhone,Mac OS,PC,PS4,Xbox One",7
62,2018-01-22,Iconoclasts,"Mac OS,PC,PS4,PSVita",9.5
63,2018-01-22,The Red Strings Club,PC,8
64,2018-01-18,Genital Jousting,PC,7.5
65,2018-01-17,Full Metal Furies,"PC,Xbox One",8.5
66,2018-01-14,Mom Hid My Game!,"3DS,Switch",6.5
67,2018-01-13,Dreadnought,"PC,PS4",7.5
68,2018-01-06,Style Savvy: Styling Star,3DS,8.5
69,2018-01-05,Life is Strange: Before the Storm: Hell is Empty,"PC,PS4,Xbox One",8
70,2018-01-03,Blossom Tales: The Sleeping King,Switch,8
71,2018-01-02,PlayerUnknown's Battlegrounds,"Android,iPad,iPhone,PC,PS4,Xbox One,Xbox One X",8
72,2017-12-29,Tiny Metal,"Mac OS,PC,PS4,Switch",5
73,2017-12-28,Floor Kids,Switch,7.5
74,2017-12-21,Kamen Rider: Climax Fighters,PS4,4.5
75,2017-12-20,Embers of Mirrim,"PC,PS4,Switch,Xbox One",6
76,2017-12-20,Gang Beasts,"Mac OS,PC,PS4",6
77,2017-12-20,Brawlout,"PC,PS4,Switch,Xbox One",7
78,2017-12-19,Bridge Constructor Portal,"Android,iPhone,Mac OS,PC,PS4,Switch,Xbox One",7
79,2017-12-19,Shantae: Half-Genie Hero - Friends to the End,"PC,PS4,PSVita,Switch,Wii-U,Xbox One",5
80,2017-12-19,Eiyu*Senki - The World Conquest,"PC,PSVita",7
81,2017-12-19,Okami HD,"PC,PS3,PS4,Xbox One",9.5
82,2017-12-19,L.A. Noire: The VR Case Files,PC,9
83,2017-12-19,Xenon Valkyrie+,PSVita,6.5
84,2017-12-18,Burgle Bros.,PC,8
85,2017-12-17,Gorogoa,iPad,9
86,2017-12-15,Hearthstone: Kobolds and Catacombs,"Android,iPhone,PC",7
87,2017-12-15,Never Stop Sneakin',"PC,Switch",7
88,2017-12-13,Final Fantasy XV: Episode Ignis,"PS4,Xbox One",7.5
89,2017-12-12,Race for the Galaxy,"Android,iPad",9
90,2017-12-10,7 Wonders,iPad,7.5
91,2017-12-09,,,
92,2017-12-09,The Legend of Zelda: Breath of the Wild - The Champions' Ballad,Switch,7.5
93,2017-12-08,Slain: Back from Hell,"PC,PS4,PSVita,Switch,Xbox One",2.5
94,2017-12-07,Puzzle Fighter,"Android,iPad,iPhone",7.5
95,2017-12-07,Wuppo,"PC,PS4,Xbox One",5
96,2017-12-07,Tokaido,PC,8
97,2017-12-06,Destiny 2,"PC,PS4,Xbox One",7.5
