,developer,genres,name,platforms,publisher,release_date,review_date,score,user_score
0,ClockStone Software,Simulation,Bridge Constructor Portal,"Android,iOS (iPhone/iPad),Linux,Macintosh,Nintendo Switch,PC,PlayStation 4,Xbox One",Headup Games,"Dec 20, 2017","Feb 28, 2018",4.0,5.5
1,Dim Bulb Games,Miscellaneous,Where the Water Tastes Like Wine,"Linux,Macintosh,PC","Good Shepherd Entertainment, Dim Bulb Games","Feb 28, 2018","Feb 28, 2018",6.0,8.3
2,Subset Games,"Tactical, Turn-Based, Strategy",Into the Breach,PC,Subset Games,"Feb 27, 2018","Feb 27, 2018",9.0,
3,Konami,"Action, Adventure",Metal Gear Survive,"PC,PlayStation 4,Xbox One",Konami,"Feb 20, 2018","Feb 27, 2018",5.0,3.7
4,Polyarc,"Adventure, Action",Moss,PlayStation 4,"Polyarc, Sony Interactive Entertainment","Feb 27, 2018","Feb 27, 2018",8.0,8.0
5,Bandai Namco Games,"Action, Arcade",Pac-Man Championship Edition 2,"Nintendo Switch,PC,PlayStation 4,Xbox One",Bandai Namco Games,"Sep 13, 2016","Feb 24, 2018",8.0,8.2
6,"Overkill Software, Sumo Digital, 505 Games","Shooter, 3D, Action, First-Person",Payday 2,"Linux,Nintendo Switch,PC,PlayStation 3,PlayStation 4,Xbox 360,Xbox One","505 Games, Starbreeze","Aug 13, 2013","Feb 24, 2018",5.0,7.0
7,"Microsoft Game Studios, In-Fusio, Ensemble Studios","Real-Time, Strategy",Age of Empires,"Macintosh,Mobile,PC","MacSoft, In-Fusio, Microsoft Game Studios","Sep 30, 1997","Feb 22, 2018",6.0,7.9
8,Warhorse Studios,"Role-Playing, Action",Kingdom Come: Deliverance,"PC,PlayStation 4,Xbox One","Deep Silver, Warhorse Studios, Square Enix","Feb 13, 2018","Feb 20, 2018",8.0,8.2
9,Zoink!,Action,Fe,"Nintendo Switch,PC,PlayStation 4,Xbox One",Electronic Arts,"Feb 16, 2018","Feb 19, 2018",7.0,8.5
10,Facepunch Studios,"3D, Action, Adventure, Survival",Rust,"Linux,Macintosh,PC",Facepunch Studios,"Feb 8, 2018","Feb 17, 2018",3.0,8.6
11,"Square Enix, SquareSoft","Role-Playing, Action",Secret of Mana,"Android,iOS (iPhone/iPad),Mobile,PC,PlayStation 4,PlayStation Vita,Super Nintendo","Square Enix, SquareSoft, Nintendo",October 1993,"Feb 17, 2018",6.0,9.2
12,Team Junkfish,"Strategy, Turn-Based",Attack of the Earthlings,"Linux,Macintosh,Nintendo Switch,PC","Junkfish Limited, Team Junkfish","Feb 8, 2018","Feb 16, 2018",7.0,7.0
13,"GUTS Department, Humble Bundle","Role-Playing, Action",Aegis Defenders,"Macintosh,Nintendo Switch,PC,PlayStation 4","GUTS Department, Humble Bundle, Humble Bundle, Inc.","Feb 8, 2018","Feb 14, 2018",4.0,5.0
14,"Nintendo, PlatinumGames","Action, Adventure",Bayonetta 2,"Nintendo Switch,Wii U",Nintendo,"Oct 24, 2014","Feb 14, 2018",10.0,8.3
15,Omega Force,"Action, Beat-'Em-Up, 3D",Dynasty Warriors 9,"PC,PlayStation 4,Xbox One","Koei Tecmo Games, TECMO KOEI GAMES CO., LTD.","Feb 13, 2018","Feb 13, 2018",7.0,6.2
16,"D-Pad Studio, BlitWorks","Adventure, Action",Owlboy,"Linux,Macintosh,Nintendo Switch,PC,PlayStation 4,Xbox One","D-Pad Studio, Sodesco","Nov 1, 2016","Feb 13, 2018",9.0,7.0
17,Nippon Ichi Software,Role-Playing,The Longest Five Minutes,"Nintendo Switch,PC,PlayStation Vita","NIS America, Nippon Ichi Software","Feb 13, 2018","Feb 13, 2018",6.0,0.0
18,Fourattic,"Action, Adventure",Crossing Souls,"Linux,Macintosh,PC,PlayStation 4,PlayStation Vita",Devolver Digital,"Feb 13, 2018","Feb 13, 2018",6.0,7.0
19,ATLUS,Role-Playing,Radiant Historia,"3DS,DS","ATLUS, Deep Silver","Feb 22, 2011","Feb 10, 2018",8.0,8.6
20,"Aspyr, Firaxis Games","Turn-Based, Strategy",Sid Meier's Civilization VI,"iOS (iPhone/iPad),Linux,Macintosh,PC","Aspyr, 2K Games","Oct 20, 2016","Feb 8, 2018 ",8.0,7.6
