,developer,genres,name,platforms,publisher,release_date,review_date,score,user_score
0,"Frozenbyte, Inc.","Action, Platformer, 2D",Trine 2,"Android,Linux,Macintosh,PC,PlayStation 3,PlayStation 4,Wii U,Xbox 360","Frozenbyte, Inc., Focus Home Interactive, ATLUS, Nintendo","Dec 7, 2011","Dec 23, 2011",8.5,8.3
1,Papaya Studios,"2D, Fighting, Action",Cartoon Network: Punch Time Explosion,"3DS,PlayStation 3,Wii,Xbox 360","Deep Silver, Crave, Papaya Studios, OG International Ltd, Little Orbit","Jun 2, 2011","Dec 22, 2011",5.5,6.6
2,Papaya Studios,"Fighting, 2D, Action",Cartoon Network: Punch Time Explosion,"3DS,PlayStation 3,Wii,Xbox 360","Crave, Deep Silver, Papaya Studios, OG International Ltd, Little Orbit","Jun 2, 2011","Dec 22, 2011",5.5,6.6
3,Papaya Studios,"Action, 2D, Fighting",Cartoon Network: Punch Time Explosion,"3DS,PlayStation 3,Wii,Xbox 360","Deep Silver, Crave, Papaya Studios, Little Orbit, OG International Ltd","Jun 2, 2011","Dec 22, 2011",5.5,6.6
4,Team6 Game Studios,"Arcade, Driving/Racing",FlatOut 3: Chaos & Destruction,PC,Strategy First,"Dec 13, 2011","Dec 22, 2011",5.0,3.3
5,Toxic Games,Puzzle,Q.U.B.E.,"Android,Linux,Macintosh,PC,PlayStation 3,PlayStation 4,Wii U,Xbox One","NVIDIA, Toxic Games, Grip Games","Dec 17, 2011","Dec 22, 2011",6.5,7.3
6,"War Drum Studios, Rockstar North, DMA Design, Rockstar Vienna","Action, Adventure",Grand Theft Auto III,"Android,iOS (iPhone/iPad),Macintosh,PC,PlayStation 2,PlayStation 4,Xbox","Rockstar Games, Capcom, ak tronic, Take-Two Interactive, SCEA","Oct 22, 2001","Dec 22, 2011",7.0,9.0
7,EKO Software,"Shooter, 2D, Action, Fixed-Screen",Wanted Corp,"PC,PlayStation 3,PlayStation Vita","EKO Software, Zoo Entertainment","Dec 6, 2011","Dec 21, 2011",5.5,5.2
8,"Sega, Sonic Team","2D, Action, Platformer",Sonic CD,"Android,iOS (iPhone/iPad),Ouya,PC,PlayStation 3,Sega CD,Windows Mobile,Xbox 360","Sega, Tec Toy","Nov 19, 1993","Dec 21, 2011",8.5,8.8
9,49Games,Sports,Winter Stars,"PlayStation 3,Wii,Xbox 360",Deep Silver,"Nov 9, 2011","Dec 21, 2011",4.5,4.6
10,Astro Port,"Action, Shoot-'Em-Up, 2D",SATAZIUS,"Linux,PC","Nyu Media, Capcom","Dec 16, 2011","Dec 19, 2011",7.0,7.5
11,SVG Distribution,Simulation,Oregon Trail,"3DS,Wii",Crave,"Dec 6, 2011","Dec 16, 2011",3.0,3.5
12,"Blue Byte, Related Designs","Real-Time, Strategy",Anno 2070,PC,"E-Frontier, Ubisoft","Nov 17, 2011","Dec 16, 2011",8.5,8.0
13,Virtual Air Guitar Company,"Action, 2D, Beat-'Em-Up",Kung-Fu High Impact,Xbox 360,"Black Bean Games, UTV Ignition Games","Nov 15, 2011","Dec 15, 2011",3.0,6.2
14,"Frontier Developments, Asobo Studio","Action, Adventure",Kinect: Disneyland Adventures,"Xbox 360,Xbox One",Microsoft Game Studios,"Nov 15, 2011","Dec 14, 2011",6.0,7.5
15,Epic Games,"3D, Action, Shooter, Third-Person",Gears of War 3,Xbox 360,Microsoft Game Studios,"Sep 20, 2011","Dec 14, 2011",7.0,9.0
16,Kerberos Productions,Strategy,Sword of the Stars II: Lords of Winter,PC,Paradox Interactive,"Oct 28, 2011","Dec 14, 2011",3.0,4.2
17,"RED Entertainment, Artdink",Role-Playing,Fossil Fighters: Champions,DS,Nintendo,"Nov 14, 2011","Dec 9, 2011 ",6.5,7.6
18,"Frozenbyte, Inc.","2D, Action, Platformer",Trine 2,"Android,Linux,Macintosh,PC,PlayStation 3,PlayStation 4,Wii U,Xbox 360","Frozenbyte, Inc., Focus Home Interactive, ATLUS, Nintendo","Dec 7, 2011","Dec 9, 2011 ",8.5,8.3
19,Croteam,"3D, Action, First-Person, Shooter",Serious Sam 3: BFE,"Linux,Macintosh,PC,PlayStation 3,Xbox 360","Devolver Digital, Mastertronic, Zoo Corporation","Apr 23, 2011","Dec 8, 2011 ",6.0,7.8
20,Yuke's,"Wrestling, Fighting, Action",WWE '12,"PlayStation 3,Wii,Xbox 360",THQ,"Nov 22, 2011","Dec 8, 2011 ",6.0,7.6
21,Prope,"Sports, Hunting/Fishing",Fishing Resort,Wii,"Bandai Namco Games, Nintendo, Xseed Games","Nov 22, 2011","Dec 8, 2011 ",6.0,7.1
