,developer,genres,name,platforms,publisher,release_date,review_date,score,user_score
0,Arxel Tribe,"Adventure, Action",Alfred Hitchcock presents The Final Cut,PC,"Ubisoft, Wanadoo","Mar 31, 2002","Apr 11, 2002",5.8,6.3
1,"Westlake Interactive, Mad Doc Software, Gas Powered Games","Role-Playing, Action",Dungeon Siege,"Macintosh,PC","Microsoft Game Studios, MacSoft, Ubisoft, Empire Interactive","Mar 31, 2002","Apr 10, 2002",8.4,8.1
2,KCEJ,Card Game,Yu-Gi-Oh! Forbidden Memories,PlayStation,Konami,"Mar 20, 2002","Apr 10, 2002",5.9,6.7
3,"Visual Impact, Cybiko, THQ, Climax Group","Driving/Racing, Simulation",MotoGP,"Game Boy Advance,Mobile,N-Gage,Xbox","MTO, THQ, Nokia","Oct 31, 2000","Apr 10, 2002",7.1,7.3
4,Sunstorm Interactive,"3D, Action, First-Person, Shooter",Carnivores: Cityscape,PC,Infogrames,"Mar 25, 2002","Apr 9, 2002 ",5.2,6.8
5,Hoplite Research,"Arcade, Driving/Racing",Hooters Road Trip,"PC,PlayStation",Ubisoft,"Mar 25, 2002","Apr 9, 2002 ",2.5,4.0
6,"Zonic, Black Cactus","Real-Time, Strategy",Warrior Kings,"Macintosh,PC","Feral Interactive, Strategy First, Sega, Microids, Empire Interactive, Frogster Interactive","Apr 13, 2002","Apr 8, 2002 ",7.5,7.7
7,"Mobius Entertainment, 3DO","Sports, Team-Based, Baseball, Simulation",High Heat Major League Baseball 2003,"Game Boy Advance,PC,PlayStation 2","Takara, 3DO","Feb 9, 2002","Apr 8, 2002 ",6.1,7.5
8,"Now Production, Konami","Sports, Tennis",WTA Tour Tennis,"Game Boy Advance,GameCube,PlayStation 2,Xbox",Konami,"Mar 26, 2002","Apr 5, 2002 ",6.9,6.6
9,Ion Storm,"Action, Adventure",Deus Ex,"Macintosh,PC,PlayStation 2","Aspyr, Eidos Interactive, Sold Out Software, Square Enix","Jun 23, 2000","Apr 5, 2002 ",8.1,9.0
10,Maxis,Simulation,The Sims: Vacation,"Macintosh,PC","Aspyr, Electronic Arts, EA Games","Mar 25, 2002","Apr 5, 2002 ",8.0,8.2
11,iRock Interactive,"Shooter, Third-Person, 3D, Action",Savage Skies,"PC,PlayStation 2","BigBen Interactive, Success, Bam Entertainment","Dec 30, 2001","Apr 4, 2002 ",5.4,6.3
12,KCEA,"Simulation, Soccer, Sports, Team-Based",ESPN MLS ExtraTime 2002,"GameCube,Xbox",Konami,"Mar 25, 2002","Apr 4, 2002 ",6.3,5.9
13,"Vicarious Visions, HotGen, Neversoft Entertainment, Gearbox Software, Edge of Reality, Shaba Games","Skateboarding/Skating, Sports",Tony Hawk's Pro Skater 3,"Game Boy Advance,Game Boy Color,GameCube,Macintosh,Nintendo 64,PC,PlayStation,PlayStation 2,Xbox","Activision, Success, Aspyr","Oct 28, 2001","Apr 4, 2002 ",9.0,8.4
14,Westwood Studios,"Action, Adventure",Pirates: The Legend of Black Kat,"PlayStation 2,Xbox",Electronic Arts,"Feb 17, 2002","Apr 4, 2002 ",7.8,7.4
15,Barking Dog,"First-Person, Shooter, Tactical, Action",Global Operations,PC,"Square EA, Electronic Arts, Sold Out Software, Crave","Mar 25, 2002","Apr 3, 2002 ",8.1,8.3
16,Graphic State,"First-Person, Shooter, 3D, Action",Dark Arena,Game Boy Advance,"Majesco Games, THQ","Jan 18, 2002","Apr 3, 2002 ",6.5,6.4
17,"Nixxes Software, Crystal Dynamics","Adventure, Survival, 3D, Action",Blood Omen 2,"GameCube,PC,PlayStation 2,Xbox","Eidos Interactive, Square Enix","Mar 21, 2002","Apr 2, 2002 ",7.6,7.9
18,"3DO, New World Computing","Strategy, Turn-Based",Heroes of Might and Magic IV,"Macintosh,PC","3DO, Ubisoft, Mastertronic, MediaQuest, Sold Out Software, ak tronic","Mar 29, 2002","Apr 2, 2002 ",8.8,8.1
19,Pandemic Studios,"Real-Time, Strategy",Army Men: RTS,"GameCube,PC,PlayStation 2","Global Star Software, 2K Games, 3DO, Capcom","Mar 24, 2002","Apr 2, 2002 ",7.8,7.8
20,"Vicarious Visions, LucasArts, Raven Software","Action, First-Person, Shooter, 3D",Star Wars Jedi Knight II: Jedi Outcast,"GameCube,Macintosh,PC,Xbox","Activision, LucasArts, Aspyr, CyberFront","Mar 26, 2002","Apr 1, 2002 ",9.0,8.7
21,Red Storm Entertainment,"Action, First-Person, Shooter, Tactical",Tom Clancy's Ghost Recon: Desert Siege,PC,Ubisoft,"Mar 27, 2002","Apr 1, 2002 ",8.0,8.2
22,"OutLook Entertainment, Point of View, Midway","Arcade, Football (American), Sports, Team-Based",NFL Blitz 20-02,"Game Boy Advance,GameCube,PlayStation 2,Xbox",Midway,"Sep 17, 2001","Apr 1, 2002 ",8.0,7.4
23,"Crawfish Interactive, Bam Entertainment","Driving/Racing, Simulation",Driven,"Game Boy Advance,GameCube,PlayStation 2",Bam Entertainment,"Nov 6, 2001","Apr 1, 2002 ",6.2,5.0
24,"Pipe Dream Interactive, Ubisoft Milan, Red Storm Entertainment, Saffire","Third-Person, Action, Shooter, Tactical",Tom Clancy's Rainbow Six: Rogue Spear,"Dreamcast,Game Boy Advance,Macintosh,PC,PlayStation","Swing! Deutschland, Red Storm Entertainment, Ubisoft, MacSoft","Aug 31, 1999","Apr 1, 2002 ",7.0,8.1
25,Evolution Studios,"Driving/Racing, Simulation",WRC: World Rally Championship,PlayStation 2,"SCEE, Bam Entertainment, Spike","Mar 21, 2002","Mar 29, 2002",8.5,8.0
26,"Eolith, Playmore, SNK Playmore","2D, Action, Fighting",The King of Fighters 2001,"Arcade Games,Dreamcast,NeoGeo,PC,PlayStation 2","Eolith, Playmore, Sun Amusement, SNK Playmore",2001,"Mar 29, 2002",8.7,8.0
27,GolemLabs,"Strategy, Turn-Based",SuperPower,PC,DreamCatcher Interactive,"Mar 28, 2002","Mar 29, 2002",4.2,5.9
28,"Omni Group, Irrational Games","Role-Playing, Action",Freedom Force,"Macintosh,PC","Mac Play, Crave, Electronic Arts, 2K Games","Mar 24, 2002","Mar 29, 2002",9.0,8.5
29,"Virtucraft, Codemasters","Boxing, Sports",Mike Tyson Boxing,"Game Boy Advance,PlayStation","Ubisoft, Codemasters","Oct 23, 2000","Mar 28, 2002",3.3,4.3
30,"Revolution Software, Astraware",Adventure,Broken Sword: The Shadow of the Templars,"Android,DS,Game Boy Advance,iOS (iPhone/iPad),Linux,Macintosh,Mobile,PC,PlayStation,Wii","Revolution Software, Ubisoft, Bam Entertainment, Astraware, Virgin Interactive, Kalypso, Sold Out Software, THQ, SCEE","Sep 30, 1996","Mar 28, 2002",7.0,8.5
31,KCEA,Compilation,Konami Collector's Series: Arcade Advanced,Game Boy Advance,Konami,"Mar 21, 2002","Mar 28, 2002",8.5,7.5
