,genres,name,platform,score
0,RPG,Kingdom Come: Deliverance,PC,8.0
1,Hardware,Analogue Super Nt,Super NES,8.5
2,Fighting,Injustice 2: TMNT DLC,Xbox One,8.8
3,Fighting,Injustice 2: TMNT DLC,PC,8.8
4,Fighting,Injustice 2: TMNT DLC,PlayStation 4,8.8
5,Adventure,Fe,PlayStation 4,6.5
6,Adventure,Fe,Nintendo Switch,6.5
7,Adventure,Fe,Xbox One,6.5
8,Adventure,Fe,PC,6.5
9,Action,Bayonetta 2,Nintendo Switch,9.0
10,Action,Dynasty Warriors 9,PlayStation 4,5.8
11,"Action, Adventure",Middle-earth: Shadow of War -- The Blade of Galadriel,PlayStation 4,6.8
12,Shooter,Call of Duty: WWII -- The Resistance,PlayStation 4,7.7
13,Strategy,Sid Meier's Civilization VI: Rise and Fall,PC,7.8
14,Fighting,Dissidia Final Fantasy NT,PlayStation 4,6.9
15,"Action, Adventure",Assassin's Creed Origins: The Hidden Ones,PlayStation 4,8.4
16,Platformer,Iconoclasts,PlayStation 4,8.4
17,Platformer,Iconoclasts,PlayStation Vita,8.4
18,Platformer,Iconoclasts,PC,8.4
19,Fighting,EA Sports UFC 3,Xbox One,7.5
20,Puzzle,Gorogoa,PC,8.5
21,Puzzle,Gorogoa,Macintosh,8.5
22,Puzzle,Gorogoa,iPhone,8.5
23,Puzzle,Gorogoa,Nintendo Switch,8.5
24,"Action, Adventure",Shadow of the Colossus,PlayStation 4,9.7
25,Adventure,Subnautica,PC,9.1
26,Platformer,Celeste,Nintendo Switch,10.0
27,Platformer,Celeste,PlayStation 4,10.0
28,Platformer,Celeste,PC,10.0
29,Platformer,Celeste,Xbox One,10.0
30,Action,Monster Hunter World,Xbox One,9.5
31,Action,Monster Hunter World,PlayStation 4,9.5
32,RPG,Lost Sphear,PlayStation 4,6.7
33,Fighting,Dragon Ball FighterZ,Xbox One,8.5
34,Fighting,Dragon Ball FighterZ,PlayStation 4,8.5
35,Fighting,Dragon Ball FighterZ,PC,8.5
36,Adventure,Batman: The Enemy Within -- Episode 4: What Ails You,PlayStation 4,7.5
37,Adventure,Batman: The Enemy Within -- Episode 4: What Ails You,PC,7.5
38,Adventure,Batman: The Enemy Within -- Episode 4: What Ails You,iPhone,7.5
