,developer,name,platforms,publisher,release,reviewed,score
0,Polyarc,Moss,PS4,Polyarc,2018-02-27,2018-03-03,9
1,Dim Bulb Games,Where the Water Tastes Like Wine,"Linux, Mac, Win",Good Shepherd Entertainment,2018-02-28,2018-03-01,7.5
2,,Metal Gear Survive,"PS4, Win, Xbox One",Konami,2018-02-20,2018-03-01,5.5
3,Zoink Games,Fe,"Nintendo Switch, PS4, Win, Xbox One",Electronic Arts,2018-02-16,2018-02-16,8.5
4,Square Enix,Secret of Mana (2018),"PS Vita, PS4, Win",Square Enix,2018-02-15,2018-02-15,5.5
5,The Wandering Ben,A Case of Distrust,"Mac, Win",Serenity Forge,2018-02-09,2018-02-12,9
6,RageSquid,Descenders,"Linux, Mac, Win",No More Robots,2018-02-09,2018-02-09,7
7,Firaxis Games,Civilization 6: Rise and Fall,Win,2K Games,2018-02-08,2018-02-07,9
8,Arc System Works,Dragon Ball FighterZ,"PS4, Win, Xbox One",Bandai Namco,2018-01-26,2018-02-05,8.5
9,Atlus,Radiant Historia: Perfect Chronology,3DS,Atlus,2018-02-13,2018-02-05,8
10,Tokyo RPG Factory,Lost Sphear,"Nintendo Switch, PS4, Win",Square Enix,2018-01-23,2018-02-05,6
11,Electronic Arts,EA Sports UFC 3,"PS4, Xbox One",Electronic Arts,2018-02-02,2018-02-02,7.5
12,Team Ico,Shadow of the Colossus,"PS2, PS4, PSN",Sony Computer Entertainment,2005-10-18,2018-01-30,9.5
13,Capcom,Monster Hunter: World,"PS4, Win, Xbox One",Capcom,2018-01-26,2018-01-26,9
14,Matt Makes Games,Celeste,"Nintendo Switch, PS4, Win, Xbox One",Matt Makes Games,2018-01-25,2018-01-25,8
15,PUBG Corp.,PlayerUnknown's Battlegrounds,"Win, Xbox One",PUBG Corp.,2017-03-23,2017-12-20,10
16,Monolith Software,Xenoblade Chronicles 2,Nintendo Switch,Nintendo,2017-12-21,2017-11-30,7.5
17,TT Games,Lego Marvel Super Heroes 2,"Nintendo Switch, PS4, Win, Xbox One",Warner Bros. Interactive Entertainment,2017-11-14,2017-11-22,6
18,EA Digital Illusions CE,Star Wars Battlefront 2,"PS4, Win, Xbox One",Electronic Arts,2017-11-17,2017-11-20,7
19,Omega Force,Fire Emblem Warriors,"New Nintendo 3DS, Nintendo Switch",Nintendo,2017-11-21,2017-11-20,7.5
20,Trinket Studios,Battle Chef Brigade,"Nintendo Switch, Win",,2017-11-20,2017-11-20,7
21,Ghost Games,Need for Speed Payback,"PS4, Win, Xbox One",Electronic Arts,2017-11-10,2017-11-11,6.5
22,Sledgehammer Games,Call of Duty: WWII,"PS4, Win, Xbox One",Activision,2017-11-03,2017-11-06,7
23,Guerrilla Games,Horizon Zero Dawn: The Frozen Wilds,PS4,Sony Interactive Entertainment,2017-11-07,2017-11-06,8
24,Sonic Team,Sonic Forces,"Nintendo Switch, PS4, Win, Xbox One",Sega,2017-12-21,2017-11-05,5
25,Grumpyface Studios,Steven Universe: Save the Light,"PS4, Xbox One",Cartoon Network Games,,2017-10-31,5
26,Nintendo Entertainment Planning & Development,Super Mario Odyssey,Nintendo Switch,Nintendo,2017-10-27,2017-10-26,9.5
27,MachineGames,Wolfenstein 2: The New Colossus,"PS4, Win, Xbox One",Bethesda Softworks,2017-10-27,2017-10-26,9
28,Ubisoft Montreal,Assassin's Creed Origins,"PS4, Win, Xbox One",Ubisoft,2017-10-27,2017-10-26,8.5
29,TickTock Games,Rogue Trooper Redux,"Nintendo Switch, PS4, Win, Xbox One",Rebellion Developments,2017-10-17,2017-10-20,6.5
30,Tango Gameworks,The Evil Within 2,"PS4, Win, Xbox One",Bethesda Softworks,2017-10-13,2017-10-18,9
31,Bandai Namco,Gundam Versus,PS4,Bandai Namco,2017-11-21,2017-10-18,8
32,Atlus,Etrian Odyssey 5: Beyond the Myth,3DS,Atlus,2017-10-17,2017-10-17,8.5
33,Ubisoft San Francisco,South Park: The Fractured But Whole,"PS4, Win, Xbox One",Ubisoft,2017-10-17,2017-10-16,7
34,Larian Studios,Divinity: Original Sin 2,Win,Larian Studios,,2017-10-13,7
35,Lion Game Lion,Raid: World War II,"PS4, Win, Xbox One",Starbreeze Studios,2017-09-26,2017-10-10,3.5
36,AlphaDream,Mario & Luigi: Superstar Saga + Bowser's Minions,3DS,Nintendo,2017-10-06,2017-10-06,8
37,Monolith Productions,Middle-earth: Shadow of War,"PS4, Win, Xbox One",Warner Bros. Interactive Entertainment,2017-10-10,2017-10-05,7.5
38,Turn 10 Studios,Forza Motorsport 7,"Win, Xbox One",Microsoft Studios,2017-10-03,2017-10-04,8.5
39,Airship Syndicate,Battle Chasers: Nightwar,"Mac, PS4, Win, Xbox One",,,2017-10-02,8
40,Reikon Games,Ruiner,"Linux, Mac, PS4, Win, Xbox One",Devolver Digital,,2017-09-29,6
